season,adp_rk,pick,name,pos,team,bye,overall,std,high,low,n,player_id,sleeper_id
2021,33,3.08,Chris Carson,RB,SEA,9,32.2,3.6,2.03,4.04,450,00-0033594,4273
2021,34,3.1,David Montgomery,RB,CHI,10,33.7,3,2.09,4.06,363,00-0035685,5892
2021,35,3.11,D'Andre Swift,RB,DET,9,34.5,3.4,2.12,4.09,366,00-0036275,6790
2021,36,3.11,Josh Allen,QB,BUF,7,34.9,4.4,1.02,4.12,437,00-0034857,4984
2021,37,3.12,Mike Evans,WR,TB,9,36.4,3.8,3.01,5.02,414,00-0031408,2216
2021,38,4.02,Terry McLaurin,WR,WAS,9,37.5,3.6,3.01,4.12,435,00-0035659,5927
2021,39,4.03,Kareem Hunt,RB,CLE,13,39,5.6,1.12,5.07,268,00-0033923,4098
2021,40,4.03,Kyler Murray,QB,ARI,12,39.4,4.7,1.05,5.03,279,00-0035228,5849
2021,41,4.04,Julio Jones,WR,TEN,13,40.1,4.1,2.06,5.02,350,00-0027944,947
2021,42,4.05,Adam Thielen,WR,MIN,7,41.1,3.3,3.06,5.01,305,00-0030035,1689
2021,43,4.07,Allen Robinson,WR,CHI,10,42.6,3.7,3.05,5.07,403,00-0031428,1992
2021,44,4.07,Raheem Mostert,RB,SF,6,43.2,5,2.1,6.05,267,00-0031687,2749
2021,45,4.09,Dak Prescott,QB,DAL,7,44.5,5.3,2.12,5.09,282,00-0033077,3294
2021,46,4.09,Chris Godwin,WR,TB,9,45.2,3.4,3.05,5.06,273,00-0033921,4037
2021,47,4.1,Melvin Gordon,RB,DEN,11,45.5,5.6,2.04,5.09,195,00-0032144,2320
2021,48,4.11,Lamar Jackson,QB,BAL,8,47.2,5.5,2.07,6.04,344,00-0034796,4881
2021,49,4.12,Amari Cooper,WR,DAL,7,48.1,4.5,3.06,6.03,326,00-0031544,2309
2021,50,4.12,Myles Gaskin,RB,MIA,14,48.5,6.7,3.06,6.06,304,00-0035311,5980
2021,51,5.01,Mark Andrews,TE,BAL,8,48.6,6.5,3.04,6.01,308,00-0034753,5012
2021,52,5.04,Robert Woods,WR,LAR,11,51.6,4.5,3.04,6.03,425,00-0030431,1352
2021,53,5.04,CeeDee Lamb,WR,DAL,7,51.7,4.9,3.07,6.05,443,00-0036358,6786
2021,54,5.04,Najee Harris,RB,PIT,7,51.7,38.4,1.08,15.09,986,,7528
2021,55,5.05,Kenny Golladay,WR,NYG,10,53.2,5.4,4.01,6.09,233,00-0033932,4131
2021,56,5.05,Russell Wilson,QB,SEA,9,53.3,5.4,4.02,6.06,202,00-0029263,1234
