game_id,season,week,team,team_score,opp,opp_score,team_result,location,spread_line,team_coach,opp_coach
2014_07_KC_SD,2014,7,KC,23,LAC,20,3,Away,-3,Andy Reid,Mike McCoy
2014_07_KC_SD,2014,7,LAC,20,KC,23,-3,Home,3,Mike McCoy,Andy Reid
2014_07_NYG_DAL,2014,7,NYG,21,DAL,31,-10,Away,-5,Tom Coughlin,Jason Garrett
2014_07_NYG_DAL,2014,7,DAL,31,NYG,21,10,Home,5,Jason Garrett,Tom Coughlin
2014_07_ARI_OAK,2014,7,ARI,24,LV,13,11,Away,3.5,Bruce Arians,Tony Sparano
2014_07_ARI_OAK,2014,7,LV,13,ARI,24,-11,Home,-3.5,Tony Sparano,Bruce Arians
2014_07_SF_DEN,2014,7,SF,17,DEN,42,-25,Away,-7,Jim Harbaugh,John Fox
2014_07_SF_DEN,2014,7,DEN,42,SF,17,25,Home,7,John Fox,Jim Harbaugh
2014_07_HOU_PIT,2014,7,HOU,23,PIT,30,-7,Away,-3,Bill O'Brien,Mike Tomlin
2014_07_HOU_PIT,2014,7,PIT,30,HOU,23,7,Home,3,Mike Tomlin,Bill O'Brien
2014_08_SD_DEN,2014,8,LAC,21,DEN,35,-14,Away,-9,Mike McCoy,John Fox
2014_08_SD_DEN,2014,8,DEN,35,LAC,21,14,Home,9,John Fox,Mike McCoy
2014_08_DET_ATL,2014,8,DET,22,ATL,21,1,Neutral,3.5,Jim Caldwell,Mike Smith
2014_08_DET_ATL,2014,8,ATL,21,DET,22,-1,Neutral,-3.5,Mike Smith,Jim Caldwell
2014_08_SEA_CAR,2014,8,SEA,13,CAR,9,4,Away,6,Pete Carroll,Ron Rivera
2014_08_SEA_CAR,2014,8,CAR,9,SEA,13,-4,Home,-6,Ron Rivera,Pete Carroll
2014_08_BAL_CIN,2014,8,BAL,24,CIN,27,-3,Away,2.5,John Harbaugh,Marvin Lewis
2014_08_BAL_CIN,2014,8,CIN,27,BAL,24,3,Home,-2.5,Marvin Lewis,John Harbaugh
2014_08_MIA_JAX,2014,8,MIA,27,JAX,13,14,Away,7,Joe Philbin,Gus Bradley
2014_08_MIA_JAX,2014,8,JAX,13,MIA,27,-14,Home,-7,Gus Bradley,Joe Philbin
2014_08_STL_KC,2014,8,LA,7,KC,34,-27,Away,-7.5,Jeff Fisher,Andy Reid
2014_08_STL_KC,2014,8,KC,34,LA,7,27,Home,7.5,Andy Reid,Jeff Fisher
2014_08_CHI_NE,2014,8,CHI,23,NE,51,-28,Away,-5.5,Marc Trestman,Bill Belichick
2014_08_CHI_NE,2014,8,NE,51,CHI,23,28,Home,5.5,Bill Belichick,Marc Trestman
2014_08_BUF_NYJ,2014,8,BUF,43,NYJ,23,20,Away,-3,Doug Marrone,Rex Ryan
2014_08_BUF_NYJ,2014,8,NYJ,23,BUF,43,-20,Home,3,Rex Ryan,Doug Marrone
2014_08_MIN_TB,2014,8,MIN,19,TB,13,6,Away,-1,Mike Zimmer,Lovie Smith
2014_08_MIN_TB,2014,8,TB,13,MIN,19,-6,Home,1,Lovie Smith,Mike Zimmer
2014_08_HOU_TEN,2014,8,HOU,30,TEN,16,14,Away,3.5,Bill O'Brien,Ken Whisenhunt
2014_08_HOU_TEN,2014,8,TEN,16,HOU,30,-14,Home,-3.5,Ken Whisenhunt,Bill O'Brien
2014_08_PHI_ARI,2014,8,PHI,20,ARI,24,-4,Away,-1,Chip Kelly,Bruce Arians
2014_08_PHI_ARI,2014,8,ARI,24,PHI,20,4,Home,1,Bruce Arians,Chip Kelly
2014_08_OAK_CLE,2014,8,LV,13,CLE,23,-10,Away,-6.5,Tony Sparano,Mike Pettine
2014_08_OAK_CLE,2014,8,CLE,23,LV,13,10,Home,6.5,Mike Pettine,Tony Sparano
2014_08_IND_PIT,2014,8,IND,34,PIT,51,-17,Away,5,Chuck Pagano,Mike Tomlin
2014_08_IND_PIT,2014,8,PIT,51,IND,34,17,Home,-5,Mike Tomlin,Chuck Pagano
2014_08_GB_NO,2014,8,GB,23,NO,44,-21,Away,-2,Mike McCarthy,Sean Payton
2014_08_GB_NO,2014,8,NO,44,GB,23,21,Home,2,Sean Payton,Mike McCarthy
2014_08_WAS_DAL,2014,8,WAS,20,DAL,17,3,Away,-9.5,Jay Gruden,Jason Garrett
2014_08_WAS_DAL,2014,8,DAL,17,WAS,20,-3,Home,9.5,Jason Garrett,Jay Gruden
2014_09_NO_CAR,2014,9,NO,28,CAR,10,18,Away,3,Sean Payton,Ron Rivera
2014_09_NO_CAR,2014,9,CAR,10,NO,28,-18,Home,-3,Ron Rivera,Sean Payton
2014_09_JAX_CIN,2014,9,JAX,23,CIN,33,-10,Away,-10,Gus Bradley,Marvin Lewis
2014_09_JAX_CIN,2014,9,CIN,33,JAX,23,10,Home,10,Marvin Lewis,Gus Bradley
2014_09_TB_CLE,2014,9,TB,17,CLE,22,-5,Away,-7,Lovie Smith,Mike Pettine
2014_09_TB_CLE,2014,9,CLE,22,TB,17,5,Home,7,Mike Pettine,Lovie Smith
2014_09_ARI_DAL,2014,9,ARI,28,DAL,17,11,Away,-1.5,Bruce Arians,Jason Garrett
2014_09_ARI_DAL,2014,9,DAL,17,ARI,28,-11,Home,1.5,Jason Garrett,Bruce Arians
2014_09_PHI_HOU,2014,9,PHI,31,HOU,21,10,Away,1.5,Chip Kelly,Bill O'Brien
2014_09_PHI_HOU,2014,9,HOU,21,PHI,31,-10,Home,-1.5,Bill O'Brien,Chip Kelly
2014_09_NYJ_KC,2014,9,NYJ,10,KC,24,-14,Away,-9.5,Rex Ryan,Andy Reid
2014_09_NYJ_KC,2014,9,KC,24,NYJ,10,14,Home,9.5,Andy Reid,Rex Ryan
2014_09_SD_MIA,2014,9,LAC,0,MIA,37,-37,Away,-3,Mike McCoy,Joe Philbin
2014_09_SD_MIA,2014,9,MIA,37,LAC,0,37,Home,3,Joe Philbin,Mike McCoy
2014_09_WAS_MIN,2014,9,WAS,26,MIN,29,-3,Away,1,Jay Gruden,Mike Zimmer
2014_09_WAS_MIN,2014,9,MIN,29,WAS,26,3,Home,-1,Mike Zimmer,Jay Gruden
2014_09_STL_SF,2014,9,LA,13,SF,10,3,Away,-10.5,Jeff Fisher,Jim Harbaugh
2014_09_STL_SF,2014,9,SF,10,LA,13,-3,Home,10.5,Jim Harbaugh,Jeff Fisher
2014_09_DEN_NE,2014,9,DEN,21,NE,43,-22,Away,3,John Fox,Bill Belichick
2014_09_DEN_NE,2014,9,NE,43,DEN,21,22,Home,-3,Bill Belichick,John Fox
2014_09_OAK_SEA,2014,9,LV,24,SEA,30,-6,Away,-13.5,Tony Sparano,Pete Carroll
2014_09_OAK_SEA,2014,9,SEA,30,LV,24,6,Home,13.5,Pete Carroll,Tony Sparano
2014_09_BAL_PIT,2014,9,BAL,23,PIT,43,-20,Away,-2.5,John Harbaugh,Mike Tomlin
2014_09_BAL_PIT,2014,9,PIT,43,BAL,23,20,Home,2.5,Mike Tomlin,John Harbaugh
2014_09_IND_NYG,2014,9,IND,40,NYG,24,16,Away,3,Chuck Pagano,Tom Coughlin
2014_09_IND_NYG,2014,9,NYG,24,IND,40,-16,Home,-3,Tom Coughlin,Chuck Pagano
2014_10_CLE_CIN,2014,10,CLE,24,CIN,3,21,Away,-6.5,Mike Pettine,Marvin Lewis
2014_10_CLE_CIN,2014,10,CIN,3,CLE,24,-21,Home,6.5,Marvin Lewis,Mike Pettine
2014_10_TEN_BAL,2014,10,TEN,7,BAL,21,-14,Away,-10.5,Ken Whisenhunt,John Harbaugh
2014_10_TEN_BAL,2014,10,BAL,21,TEN,7,14,Home,10.5,John Harbaugh,Ken Whisenhunt
2014_10_KC_BUF,2014,10,KC,17,BUF,13,4,Away,-2,Andy Reid,Doug Marrone
